"","TFs","target","mor"
"422","CEBPB","PRL",0.895306222584563
"423","CEBPB","PTGS2",-0.979328197441706
"424","CEBPB","S100A9",0.998353618267427
"425","CEBPB","SAA1",0.668129732674976
"426","CEBPB","SAA2",-1.54948958546331e-06
"427","CEBPB","SFTPD",0.226930452227286
"428","CEBPB","SLC10A1",-0.000112663334749704
"429","CEBPB","SLC19A1",-0.149016220240145
"430","CEBPB","STAR",0.18642838930698
"431","CEBPB","TNF",0.249761076730761
"432","CEBPB","TNFAIP6",0.929526085367973
"433","CEBPB","TOP1",-0.692471763363274
"434","CEBPB","XBP1",-0.0574000039115804
"435","CEBPD","ALOX5AP",0.998252751797378
"436","CEBPD","C3",-0.0574000039115804
"437","CEBPD","CFTR",-0.000145771334068212
"438","CEBPD","CYP19A1",-3.82216879055866e-05
"439","CEBPD","GADD45G",-0.00470463392174432
"440","CEBPD","GAPDH",-0.0662855376947696
"441","CEBPD","POU5F1",0.375896771033796
"442","CEBPD","PTGS2",-0.910778768681391
"443","CEBPD","TNF",0.380421871498907
"444","CEBPD","CCND1",-8.67037992921672e-06
"445","CEBPD","GRAMD1A",0.244363283330287
"446","CEBPD","IL6",0.437319473831392
"447","CEBPD","NFIL3",0.90228367545189
"448","CEBPD","TF",0.217713029547179
"449","CREB1","ADRA1A",0.962983754861743
"450","CREB1","AQP2",0.995367999464206
"451","CREB1","AQP3",0.448002121311929
"452","CREB1","BCL2",0.538054228918726
"453","CREB1","BDKRB1",0.982494139996912
"454","CREB1","BDNF",0.947848386645843
"455","CREB1","CCL5",0.335132005234439
"456","CREB1","CCND1",0.45395905670298
"457","CREB1","CD4",-4.40256604368781e-06
"458","CREB1","CDK11A",0.962983754861743
"459","CREB1","CGA",0.995563692545776
"460","CREB1","CIITA",0.968707315522009
"461","CREB1","CPT1A",0.511607952187066
"462","CREB1","CXCR4",-0.157231466979417
"463","CREB1","CYP11A1",0.808685717071181
"464","CREB1","CYP11B1",0.818487670684061
"465","CREB1","CYP11B2",0.469507557104879
"466","CREB1","CYP17A1",0.623743280127576
"467","CREB1","CYP19A1",0.710886848383149
"468","CREB1","DBH",0.90228367545189
"469","CREB1","DIO2",0.630546634006453
"470","CREB1","EGR1",-7.04945004351209e-06
"471","CREB1","ERBB2",0.696632570947817
"472","CREB1","ETV3",-1.78712871997895e-07
"473","CREB1","FLT1",-2.16293684101701e-05
"474","CREB1","FN1",-0.10944831989698
"475","CREB1","FOS",-0.343306292963356
"476","CREB1","G6PC",0.670284379341313
